[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_cancellation in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_occupancy in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_room_terms in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_cancellation in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined property: Setting::$id in /mnt/www/greenoasis/library/sqlquery.class.php on line 172
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: is_ajax in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 41
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_occupancy in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_room_terms in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_cancellation in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_occupancy in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_room_terms in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_cancellation in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_occupancy in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_room_terms in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_cancellation in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_occupancy in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_room_terms in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_cancellation in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
[06-Feb-2014 17:44:40 Europe/Berlin] PHP Notice:  Undefined index: policy_occupancy in /mnt/www/greenoasis/application/controllers/admincontroller.php on line 104
